codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
4502005,DGA,dga_web,Hurtado,1100,-30.2867,-70.6961,45.0,Rio Limari,450.0,Rio Hurtado,1979-02-26,1993-12-30,5133,-
4502004,DGA,dga_web,La Cortadera,920,-30.3503,-70.77,45.0,Rio Limari,450.0,Rio Hurtado,1967-06-24,1973-11-23,2117,-
4503001,DGA,dga_web,Rio Hurtado En Angostura De Pangue,485,-30.4386,-71.0022,45.0,Rio Limari,450.0,Rio Hurtado,2017-06-09,2018-01-01,51,2017-06-09
4506007,DGA,dga_web,Recoleta Embalse,350,-30.5069,-71.0997,45.0,Rio Limari,450.0,Rio Hurtado,1989-10-23,1993-12-31,1488,-
4551004,DGA,dga_web,Ovalle (Escuela Agricola),340,-30.5528,-71.1642,45.0,Rio Limari,455.0,Rio Limari,1977-10-24,1983-02-25,1461,-
4557001,DGA,dga_web,Salala,100,-30.6783,-71.53,45.0,Rio Limari,455.0,Rio Limari,1969-03-25,1977-07-29,2581,-
4540006,DGA,dga_web,Paloma Embalse,320,-30.6958,-71.0361,45.0,Rio Limari,454.0,Rio Grande Bajo (Entre Embalse Paloma Y Rio Hurtado),1966-01-03,1993-12-31,9307,-
4523004,DGA,dga_web,Puntilla San Juan,430,-30.7025,-70.9178,45.0,Rio Limari,452.0,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),1968-06-17,1979-02-16,3882,-
4523002,DGA,dga_web,Rio Grande En Puntilla San Juan,420,-30.7047,-70.9244,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),2017-01-01,2018-01-01,155,2017-01-01
4537003,DGA,dga_web,El Tome,420,-30.8178,-70.9706,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),1968-10-21,1988-06-16,7018,-
4513004,DGA,dga_web,Caren,740,-30.8547,-70.7708,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1967-06-12,1993-12-31,8942,-
4511004,DGA,dga_web,Cerro Vega Negra,3600,-30.9033,-70.5158,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1999-02-26,2018-02-04,5332,1999-02-26
4535001,DGA,dga_web,Cogoti Embalse,740,-31.0078,-71.0856,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),1965-01-15,1993-12-26,10381,-
4511003,DGA,dga_web,Las Ramadas,1380,-31.0181,-70.5858,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1968-06-13,1993-12-31,8151,-
4531002,DGA,dga_web,Rio Cogoti Entrada Embalse Cogoti,670,-31.0325,-71.0403,45.0,Rio Limari,453.0,Rio Huatulame (Muro Embalse Paloma),2014-01-01,2018-02-04,1099,2014-01-01
4530001,DGA,dga_web,Rio Cogoti En Fraguita,1065,-31.1119,-70.885,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),2014-01-01,2017-10-16,792,2014-01-01
4721001,DGA,dga_web,Rio Illapel En Las Burras,1079,-31.5069,-70.8125,47.0,Rio Choapa,472.0,Rio Illapel,2013-09-10,2014-05-20,252,2013-09-10
4722001,DGA,dga_web,Santa Virginia,980,-31.5503,-70.8353,47.0,Rio Choapa,472.0,Rio Illapel,1979-02-14,1989-03-26,3332,-
4723001,DGA,dga_web,Rio Illapel En Huintil,775,-31.5608,-70.9644,47.0,Rio Choapa,472.0,Rio Illapel,2016-09-01,2018-02-04,522,2016-09-01
4726003,DGA,dga_web,Illapel Dga,290,-31.645,-71.1908,47.0,Rio Choapa,472.0,Rio Illapel,1975-08-05,1993-12-31,6374,-
4710001,DGA,dga_web,La Tranquilla,1000,-31.9,-70.6706,47.0,Rio Choapa,471.0,Rio Choapa Medio (Entre Rios Cuncumen E Illapel),1966-01-03,1993-12-31,9179,-
4810003,DGA,dga_web,Caimanes,450,-31.9322,-71.1361,48.0,Costeras Entre R.Choapa Y R.Quilimari,481.0,Estero Pupio,1989-08-09,1993-11-07,1313,-
4700002,DGA,dga_web,El Soldado,3290,-32.0067,-70.3214,47.0,Rio Choapa,470.0,Rio Choapa Alto (Hasta Abajo Junta Rio Cuncumen),2000-01-01,2018-02-04,3744,2000-01-01
4902002,DGA,dga_web,Los Condores,190,-32.1086,-71.3125,49.0,Rio Quilimari,490.0,Rio Quilimari Hasta Muro Embalse Culimo,1977-07-25,1993-12-31,5394,-
